"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_waste_other_bio_sr","conversion_factor_pri_waste_municipal_bio","conversion_factor_pri_waste_wood","conversion_factor_pri_sewage_sludge","conversion_factor_pri_waste_non_bio","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_waste_other_bio_sr_emi_co2_f_pow","ef_pri_waste_municipal_bio_emi_co2_f_pow","ef_pri_waste_wood_emi_co2_f_pow","ef_pri_sewage_sludge_emi_co2_f_pow","ef_pri_waste_non_bio_emi_co2_f_pow"
11,"DE",2070,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
12,"AT",2020,"pow_combustion_st_chp_waste_0_ag",90.0,0.0,0.0,284496.2,9630764.68919447,27.3903501261121,0.290712206999224,1.0,0.0,0.0,0.0,0,"","v1","","","",4.41155567653593,4.41155567653593,4.41155567653593,4.41155567653593,4.41155567653593,1.0,3.43982803585083,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
13,"AT",2021,"pow_combustion_st_chp_waste_0_ag",90.0,0.0,0.0,284496.2,9630764.68919447,27.3903501261121,0.290712206999224,1.0,0.0,0.0,0.0,0,"","v1","","","",4.41155567653593,4.41155567653593,4.41155567653593,4.41155567653593,4.41155567653593,1.0,3.43982803585083,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
14,"AT",2024,"pow_combustion_st_chp_waste_0_ag",68.5,0.0,0.0,256870.043795621,9383522.75793947,27.4724430622063,0.290846310476941,1.0,0.0,0.0,0.0,0,"","v1","","","",4.42825022295579,4.42825022295579,4.42825022295579,4.42825022295579,4.42825022295579,1.0,3.43824199922,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
15,"AT",2027,"pow_combustion_st_chp_waste_0_ag",68.5,0.0,0.0,256870.043795621,9383522.75793947,27.4724430622063,0.290846310476941,1.0,0.0,0.0,0.0,0,"","v1","","","",4.42825022295579,4.42825022295579,4.42825022295579,4.42825022295579,4.42825022295579,1.0,3.43824199922,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
16,"AT",2030,"pow_combustion_st_chp_waste_0_ag",45.0,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.295131451269827,1.0,0.0,0.0,0.0,0,"","v1","","","",4.29866289542874,4.29866289542874,4.29866289542874,4.29866289542874,4.29866289542874,1.0,3.3883206811657,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
17,"AT",2035,"pow_combustion_st_chp_waste_0_ag",17.0,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.295131451269827,1.0,0.0,0.0,0.0,0,"","v1","","","",4.29866289542874,4.29866289542874,4.29866289542874,4.29866289542874,4.29866289542874,1.0,3.3883206811657,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
18,"AT",2040,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
19,"AT",2045,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
20,"AT",2050,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
21,"AT",2060,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
22,"AT",2070,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
23,"BE",2020,"pow_combustion_st_chp_waste_0_ag",105.4,0.0,0.0,271544.633776091,9516557.29530188,27.4829232070625,0.290417759093968,1.0,0.0,0.0,0.0,0,"","v1","","","",4.42922492027934,4.42922492027934,4.42922492027934,4.42922492027934,4.42922492027934,1.0,3.44331559860441,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
24,"BE",2021,"pow_combustion_st_chp_waste_0_ag",105.4,0.0,0.0,271544.633776091,9516557.29530188,27.4829232070625,0.290417759093968,1.0,0.0,0.0,0.0,0,"","v1","","","",4.42922492027934,4.42922492027934,4.42922492027934,4.42922492027934,4.42922492027934,1.0,3.44331559860441,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
25,"BE",2024,"pow_combustion_st_chp_waste_0_ag",72.3,0.0,0.0,258927.573997234,9411788.694688,27.7791460799081,0.288769730070582,1.0,0.0,0.0,0.0,0,"","v1","","","",4.484834766576,4.484834766576,4.484834766576,4.484834766576,4.484834766576,1.0,3.46296684128069,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
26,"BE",2027,"pow_combustion_st_chp_waste_0_ag",72.3,0.0,0.0,258927.573997234,9411788.694688,27.7791460799081,0.288769730070582,1.0,0.0,0.0,0.0,0,"","v1","","","",4.484834766576,4.484834766576,4.484834766576,4.484834766576,4.484834766576,1.0,3.46296684128069,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
27,"BE",2030,"pow_combustion_st_chp_waste_0_ag",67.9,0.0,0.0,247528.371134021,9309523.79044367,27.805174993125,0.288876888610954,1.0,0.0,0.0,0.0,0,"","v1","","","",4.49046508297299,4.49046508297299,4.49046508297299,4.49046508297299,4.49046508297299,1.0,3.46168225782421,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
28,"BE",2035,"pow_combustion_st_chp_waste_0_ag",16.0,0.0,0.0,277196.0,9544532.44292575,26.7484726448468,0.295131451269827,1.0,0.0,0.0,0.0,0,"","v1","","","",4.29866289542874,4.29866289542874,4.29866289542874,4.29866289542874,4.29866289542874,1.0,3.3883206811657,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
29,"BE",2040,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
30,"BE",2045,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
31,"BE",2050,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
32,"BE",2060,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
33,"BE",2070,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
34,"CH",2020,"pow_combustion_st_chp_waste_0_ag",324.55,0.0,0.0,296853.186874133,9748910.96956516,27.5935690630875,0.289067095214703,1.0,0.0,0.0,0.0,0,"","v1","","","",4.44789512182492,4.44789512182492,4.44789512182492,4.44789512182492,4.44789512182492,1.0,3.4594044654486,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
35,"CH",2021,"pow_combustion_st_chp_waste_0_ag",324.55,0.0,0.0,296853.186874133,9748910.96956516,27.5935690630875,0.289067095214703,1.0,0.0,0.0,0.0,0,"","v1","","","",4.44789512182492,4.44789512182492,4.44789512182492,4.44789512182492,4.44789512182492,1.0,3.4594044654486,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
36,"CH",2024,"pow_combustion_st_chp_waste_0_ag",167.18,0.0,0.0,258242.560952267,9417626.10896149,28.1611865688955,0.286262593411113,1.0,0.0,0.0,0.0,0,"","v1","","","",4.55759395142431,4.55759395142431,4.55759395142431,4.55759395142431,4.55759395142431,1.0,3.49329609602139,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
37,"CH",2027,"pow_combustion_st_chp_waste_0_ag",167.18,0.0,0.0,258242.560952267,9417626.10896149,28.1611865688955,0.286262593411113,1.0,0.0,0.0,0.0,0,"","v1","","","",4.55759395142431,4.55759395142431,4.55759395142431,4.55759395142431,4.55759395142431,1.0,3.49329609602139,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
38,"CH",2030,"pow_combustion_st_chp_waste_0_ag",140.13,0.0,0.0,238778.059230714,9248208.13234734,28.3708237767952,0.285354246703697,1.0,0.0,0.0,0.0,0,"","v1","","","",4.59984903481734,4.59984903481734,4.59984903481734,4.59984903481734,4.59984903481734,1.0,3.50441604269646,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
39,"CH",2035,"pow_combustion_st_chp_waste_0_ag",91.13,0.0,0.0,243216.70404916,9287669.3016571,28.3492913612834,0.285387815634951,1.0,0.0,0.0,0.0,0,"","v1","","","",4.59530470550833,4.59530470550833,4.59530470550833,4.59530470550833,4.59530470550833,1.0,3.50400383343322,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
40,"CH",2040,"pow_combustion_st_chp_waste_0_ag",24.58,0.0,0.0,244419.521562246,9308898.2556846,28.6779764596773,0.283186941077861,1.0,0.0,0.0,0.0,0,"","v1","","","",4.6607710704086,4.6607710704086,4.6607710704086,4.6607710704086,4.6607710704086,1.0,3.53123627874159,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
41,"CH",2045,"pow_combustion_st_chp_waste_0_ag",3.0,0.0,0.0,434838.0,10989922.1033676,27.3774726236741,0.287116078958936,1.0,0.0,0.0,0.0,0,"","v1","","","",4.39970486724871,4.39970486724871,4.39970486724871,4.39970486724871,4.39970486724871,1.0,3.48291187183224,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
42,"CH",2050,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
43,"CH",2060,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
44,"CH",2070,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
45,"CZ",2020,"pow_combustion_st_chp_waste_0_ag",41.44,0.0,0.0,255967.066602317,9388233.28596714,27.8812882828594,0.288167428200342,1.0,0.0,0.0,0.0,0,"","v1","","","",4.50424302525265,4.50424302525265,4.50424302525265,4.50424302525265,4.50424302525265,1.0,3.47020482587217,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
46,"CZ",2021,"pow_combustion_st_chp_waste_0_ag",41.44,0.0,0.0,255967.066602317,9388233.28596714,27.8812882828594,0.288167428200342,1.0,0.0,0.0,0.0,0,"","v1","","","",4.50424302525265,4.50424302525265,4.50424302525265,4.50424302525265,4.50424302525265,1.0,3.47020482587217,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
47,"CZ",2024,"pow_combustion_st_chp_waste_0_ag",38.94,0.0,0.0,244483.313816127,9285402.72501436,27.9136339209684,0.288234926225599,1.0,0.0,0.0,0.0,0,"","v1","","","",4.51112447861735,4.51112447861735,4.51112447861735,4.51112447861735,4.51112447861735,1.0,3.46939218329603,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
48,"CZ",2027,"pow_combustion_st_chp_waste_0_ag",38.94,0.0,0.0,244483.313816127,9285402.72501436,27.9136339209684,0.288234926225599,1.0,0.0,0.0,0.0,0,"","v1","","","",4.51112447861735,4.51112447861735,4.51112447861735,4.51112447861735,4.51112447861735,1.0,3.46939218329603,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
49,"CZ",2030,"pow_combustion_st_chp_waste_0_ag",38.94,0.0,0.0,244483.313816127,9285402.72501436,27.9136339209684,0.288234926225599,1.0,0.0,0.0,0.0,0,"","v1","","","",4.51112447861735,4.51112447861735,4.51112447861735,4.51112447861735,4.51112447861735,1.0,3.46939218329603,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
50,"CZ",2035,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
51,"CZ",2040,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
52,"CZ",2045,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
53,"CZ",2050,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
54,"CZ",2060,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
55,"CZ",2070,"pow_combustion_st_chp_waste_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
56,"DK",2020,"pow_combustion_st_chp_waste_0_ag",300.46,0.0,0.0,274698.25940225,9548197.13175209,27.582024924939,0.28968583594405,1.0,0.0,0.0,0.0,0,"","v1","","","",4.44719905418081,4.44719905418081,4.44719905418081,4.44719905418081,4.44719905418081,1.0,3.4520155144663,"global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge","global_emission_factors.pri_waste_non_bio"
